id,date_column,filled
60,phase_2_fed_cmt_prd_strt_dt,1
60,phase_3_b_omb_strt_dt,1
60,phase_3_b_ogc_strt_dt,1
60,phase_2_cmpltns_rvw_dt,1
60,phase_2_fed_cmt_prd_end_dt,1
60,phase_4_strt_dt,1
60,phase_2_rcvd_dt,1
61,mdcd_demo_aplctn_stus_dt,1
61,phase_2_state_aplctn_deemd_cmpltn_dt,1
61,phase_2_dsrd_aprvl_dt,1
62,mdcd_demo_aplctn_stus_dt,1
62,phase_2_state_aplctn_deemd_cmpltn_dt,1
62,phase_2_fed_cmt_prd_strt_dt,1
62,phase_2_cmpltns_rvw_dt,1
62,phase_2_fed_cmt_prd_end_dt,1
62,phase_2_dsrd_aprvl_dt,1
62,phase_2_rcvd_dt,1
63,phase_6_end_dt,1
63,mdcd_demo_aplctn_stus_dt,1
63,phase_3_a_frvt_end_dt,1
63,phase_2_state_aplctn_deemd_cmpltn_dt,1
63,phase_3_c_ogc_end_dt,1
63,phase_3_a_sme_strt_dt,1
63,phase_3_a_sme_end_dt,1
63,phase_2_fed_cmt_prd_strt_dt,1
63,phase_3_c_omb_strt_dt,1
63,phase_3_c_omb_end_dt,1
63,phase_3_c_ogc_strt_dt,1
63,phase_6_strt_dt,1
63,phase_3_a_frvt_strt_dt,1
63,phase_2_cmpltns_rvw_dt,1
63,phase_2_fed_cmt_prd_end_dt,1
63,phase_2_rcvd_dt,1
63,phase_1_end_dt,1
63,phase_1_strt_dt,1
64,mdcd_demo_aplctn_stus_dt,1
64,phase_3_c_omb_strt_dt,1
64,phase_2_state_aplctn_deemd_cmpltn_dt,1
64,phase_3_b_ogc_strt_dt,1
64,phase_2_fed_cmt_prd_strt_dt,1
64,phase_2_fed_cmt_prd_end_dt,1
64,phase_2_rcvd_dt,1
65,mdcd_demo_aplctn_stus_dt,1
65,phase_2_state_aplctn_deemd_cmpltn_dt,1
65,phase_3_a_sme_strt_dt,1
65,phase_3_b_cmcs_end_dt,1
65,phase_3_a_sme_end_dt,1
65,phase_2_fed_cmt_prd_strt_dt,1
65,phase_3_b_cmcs_strt_dt,1
65,phase_2_cmpltns_rvw_dt,1
65,phase_2_fed_cmt_prd_end_dt,1
65,phase_2_dsrd_aprvl_dt,1
65,phase_2_rcvd_dt,1
66,phase_6_end_dt,1
66,mdcd_demo_aplctn_stus_dt,1
66,phase_3_b_cmcs_strt_dt,1
66,phase_5_strt_dt,1
66,phase_3_c_omb_strt_dt,1
66,phase_2_state_aplctn_deemd_cmpltn_dt,1
66,phase_3_c_ogc_end_dt,1
66,phase_4_end_dt,1
66,phase_5_end_dt,1
66,phase_3_b_ogc_strt_dt,1
66,phase_3_b_ogc_end_dt,1
66,phase_6_strt_dt,1
66,phase_3_b_omb_strt_dt,1
66,phase_3_c_ogc_strt_dt,1
66,phase_3_b_cmcs_end_dt,1
66,phase_2_fed_cmt_prd_strt_dt,1
66,phase_3_a_frvt_strt_dt,1
66,phase_3_a_frvt_end_dt,1
66,phase_3_b_omb_end_dt,1
66,phase_3_a_sme_end_dt,1
66,phase_3_c_omb_end_dt,1
66,phase_3_a_sme_strt_dt,1
66,phase_2_cmpltns_rvw_dt,1
66,phase_4_strt_dt,1
66,phase_2_fed_cmt_prd_end_dt,1
66,phase_2_dsrd_aprvl_dt,1
66,phase_2_rcvd_dt,1
67,mdcd_demo_aplctn_stus_dt,1
67,phase_3_c_omb_strt_dt,1
67,phase_3_a_sme_end_dt,1
67,phase_3_c_ogc_strt_dt,1
67,phase_3_b_cmcs_strt_dt,1
67,phase_6_strt_dt,1
67,phase_3_b_cmcs_end_dt,1
67,phase_4_end_dt,1
67,phase_2_state_aplctn_deemd_cmpltn_dt,1
67,phase_3_a_sme_strt_dt,1
67,phase_2_cmpltns_rvw_dt,1
67,phase_2_dsrd_aprvl_dt,1
67,phase_4_strt_dt,1
67,phase_2_rcvd_dt,1
68,mdcd_demo_aplctn_stus_dt,1
68,phase_2_state_aplctn_deemd_cmpltn_dt,1
68,phase_2_cmpltns_rvw_dt,1
68,phase_2_rcvd_dt,1
69,mdcd_demo_aplctn_stus_dt,1
69,phase_3_a_sme_strt_dt,1
69,phase_2_state_aplctn_deemd_cmpltn_dt,1
69,phase_3_a_sme_end_dt,1
69,phase_2_fed_cmt_prd_strt_dt,1
69,phase_2_cmpltns_rvw_dt,1
69,phase_2_fed_cmt_prd_end_dt,1
69,phase_2_rcvd_dt,1
70,mdcd_demo_aplctn_stus_dt,1
70,phase_3_b_ogc_strt_dt,1
70,phase_3_b_omb_strt_dt,1
70,phase_3_b_omb_end_dt,1
70,phase_3_a_sme_end_dt,1
70,phase_2_state_aplctn_deemd_cmpltn_dt,1
70,phase_4_end_dt,1
70,phase_3_c_omb_end_dt,1
70,phase_6_strt_dt,1
70,phase_3_c_omb_strt_dt,1
70,phase_3_b_ogc_end_dt,1
70,phase_3_a_sme_strt_dt,1
70,phase_3_b_cmcs_strt_dt,1
70,phase_3_c_ogc_strt_dt,1
70,phase_3_b_cmcs_end_dt,1
70,phase_5_strt_dt,1
70,phase_2_cmpltns_rvw_dt,1
70,phase_4_strt_dt,1
70,phase_2_rcvd_dt,1
71,mdcd_demo_aplctn_stus_dt,1
71,phase_2_state_aplctn_deemd_cmpltn_dt,1
71,phase_2_cmpltns_rvw_dt,1
71,phase_4_strt_dt,1
71,phase_2_rcvd_dt,1
72,mdcd_demo_aplctn_stus_dt,1
72,phase_2_state_aplctn_deemd_cmpltn_dt,1
72,phase_3_a_sme_strt_dt,1
72,phase_3_c_ogc_strt_dt,1
72,phase_3_c_omb_strt_dt,1
