from_table_qual,from_column,to_table,to_column,confidence,notes,source,prisma_status
mysql_raw.mdcd_pendg_reentry_pgm_dtl_hstry,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_reentry_pgm_dtl_hstry,mdcd_pendg_reentry_pgm_dtl_id,mdcd_pendg_reentry_pgm_dtl,mdcd_pendg_reentry_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_reentry_pgm_dtl_hstry,mdcd_reentry_pgm_dtl_id,mdcd_reentry_pgm_dtl,mdcd_reentry_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_risk_mtgtn_pgm_dtl,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_risk_mtgtn_pgm_dtl,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_risk_mtgtn_pgm_dtl,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_risk_mtgtn_pgm_dtl,mdcd_risk_mtgtn_pgm_dtl_id,mdcd_risk_mtgtn_pgm_dtl,mdcd_risk_mtgtn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_risk_mtgtn_pgm_dtl_hstry,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_risk_mtgtn_pgm_dtl_hstry,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_risk_mtgtn_pgm_dtl_hstry,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_risk_mtgtn_pgm_dtl_hstry,mdcd_pendg_risk_mtgtn_pgm_dtl_id,mdcd_pendg_risk_mtgtn_pgm_dtl,mdcd_pendg_risk_mtgtn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_risk_mtgtn_pgm_dtl_hstry,mdcd_risk_mtgtn_pgm_dtl_id,mdcd_risk_mtgtn_pgm_dtl,mdcd_risk_mtgtn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl,mdcd_rsnbl_oprtnty_prd_pgm_dtl_id,mdcd_rsnbl_oprtnty_prd_pgm_dtl,mdcd_rsnbl_oprtnty_prd_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl_hstry,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl_hstry,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl_hstry,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl_hstry,mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl_id,mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl,mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsnbl_oprtnty_prd_pgm_dtl_hstry,mdcd_rsnbl_oprtnty_prd_pgm_dtl_id,mdcd_rsnbl_oprtnty_prd_pgm_dtl,mdcd_rsnbl_oprtnty_prd_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl,mdcd_rsrcs_abrtn_dlvry_pgm_dtl_id,mdcd_rsrcs_abrtn_dlvry_pgm_dtl,mdcd_rsrcs_abrtn_dlvry_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl_hstry,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl_hstry,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl_hstry,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl_hstry,mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl_id,mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl,mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rsrcs_abrtn_dlvry_pgm_dtl_hstry,mdcd_rsrcs_abrtn_dlvry_pgm_dtl_id,mdcd_rsrcs_abrtn_dlvry_pgm_dtl,mdcd_rsrcs_abrtn_dlvry_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rtro_elgblty_pgm_dtl,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_rtro_elgblty_pgm_dtl,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rtro_elgblty_pgm_dtl,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rtro_elgblty_pgm_dtl,mdcd_rtro_elgblty_pgm_dtl_id,mdcd_rtro_elgblty_pgm_dtl,mdcd_rtro_elgblty_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rtro_elgblty_pgm_dtl_hstry,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_rtro_elgblty_pgm_dtl_hstry,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rtro_elgblty_pgm_dtl_hstry,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
