document_id,legacy_id,deliverable_id,file_type_cd,origin_cd,document_type_id,reason
53235c8e-dea0-41a1-b90f-82c7866d4f71,6475,fc7c4c00-7a39-4cd2-a8db-27bcade81f86,2,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
037be234-f721-48b2-b52a-faaada772378,6478,fc7c4c00-7a39-4cd2-a8db-27bcade81f86,3,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
327c416a-8b65-42b6-af0a-e54d87d6c751,6479,fc7c4c00-7a39-4cd2-a8db-27bcade81f86,3,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
1fab92ca-a8c2-4bc1-aeef-2d26c33b8f09,6480,fc7c4c00-7a39-4cd2-a8db-27bcade81f86,3,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
d2965cbe-ddba-4d16-a032-e33dd64e3413,6481,fc7c4c00-7a39-4cd2-a8db-27bcade81f86,3,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
3ae38693-540c-47f2-95a1-273a4011078e,6482,fc7c4c00-7a39-4cd2-a8db-27bcade81f86,3,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
8414aa5b-aae7-46d3-b10a-56291372cc18,6483,fc7c4c00-7a39-4cd2-a8db-27bcade81f86,3,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
c581d2dc-68f1-4a4d-9055-d2d510b7b67b,6484,fc7c4c00-7a39-4cd2-a8db-27bcade81f86,3,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
e69cdd71-69af-4210-b756-57322864aa2d,6485,fc7c4c00-7a39-4cd2-a8db-27bcade81f86,3,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
dec62f7f-3bfd-433a-baaa-3d497b5259f1,6486,fc7c4c00-7a39-4cd2-a8db-27bcade81f86,3,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
9a459c5f-8976-466b-af69-556240c68a6f,6674,10dd6419-666a-485d-8c73-3851d5046c95,,S,General File,parent deliverable not loaded; no application row for the resolved application_id
56010a81-32c4-42b2-9756-cd8e4ea0f09e,6781,0fdf7d92-e448-4240-b6a3-7bff6b8a946c,,S,General File,parent deliverable not loaded; no application row for the resolved application_id
d64bdceb-8017-4fd8-9b28-3d29f6d4269c,6789,c72bf104-a85b-41c8-a26a-6753056a2011,,S,General File,parent deliverable not loaded
b0b52ffa-608e-4d8a-86ff-b34edf97b6b7,6790,c72bf104-a85b-41c8-a26a-6753056a2011,,S,General File,parent deliverable not loaded
732a1dce-0875-482d-bc6b-1e09b38041e0,6791,c72bf104-a85b-41c8-a26a-6753056a2011,,S,General File,parent deliverable not loaded
e0fa4970-c310-4463-87fa-58cd40464ca7,6792,b79f1ba0-33ab-4783-a06a-285e1d3d9999,,S,General File,parent deliverable not loaded
f73c8cd6-e3ad-44c8-86e8-63068eaa338d,6793,b79f1ba0-33ab-4783-a06a-285e1d3d9999,,S,General File,parent deliverable not loaded
79b47863-942e-44e7-abc3-126b0aed3458,6794,b79f1ba0-33ab-4783-a06a-285e1d3d9999,,S,General File,parent deliverable not loaded
1acf285d-4e03-4003-a461-ec0b64863c5c,6842,950fafc6-7490-471e-a256-01964bb5bdfd,,S,General File,parent deliverable not loaded
241ded58-3ef4-441d-ba3d-9256ed55583f,6843,950fafc6-7490-471e-a256-01964bb5bdfd,,S,General File,parent deliverable not loaded
af8cb919-b6f7-4be2-b021-6d56633d4fc1,6844,950fafc6-7490-471e-a256-01964bb5bdfd,,S,General File,parent deliverable not loaded
ebb46cd3-8525-4324-af2d-f205979cb446,6845,950fafc6-7490-471e-a256-01964bb5bdfd,,S,General File,parent deliverable not loaded
594e686f-9a8c-485e-b8f3-b74c59e7ae1e,6846,950fafc6-7490-471e-a256-01964bb5bdfd,,S,General File,parent deliverable not loaded
98d750f3-e667-4c3a-93d1-3fd83a00a495,6888,0ef34e66-30ca-44a3-8862-82bb5dc4f157,,S,General File,parent deliverable not loaded; no application row for the resolved application_id
8da4fec6-8511-47c4-84b0-d5a388d20c1d,7091,10befdcc-a179-4591-af50-ce874fab0784,,S,General File,parent deliverable not loaded; no application row for the resolved application_id
31c1b399-6f89-4ff2-9559-c212d1b19a35,8470,77a0dc5e-9fc1-4a32-9a33-ce72649fcc7a,,S,General File,parent deliverable not loaded
bbe078a6-b395-409b-86a6-e26eec0c3726,8471,77a0dc5e-9fc1-4a32-9a33-ce72649fcc7a,7,S,Monitoring Protocol,parent deliverable not loaded
7565b867-f41f-45c2-a6b0-7701a91147be,8853,29a56ea3-6f0b-45cb-8245-ff61ea88a0f3,,S,General File,parent deliverable not loaded
f5ae0b0f-ab2c-4106-9485-854fed07345f,8934,604ae3c8-e857-4d67-9af0-64605f489aa5,,S,General File,parent deliverable not loaded
1173d2a8-3dd7-4fd6-9e0d-0efb321298eb,8935,604ae3c8-e857-4d67-9af0-64605f489aa5,,S,General File,parent deliverable not loaded
78bd870e-f7bd-4bbb-a0a9-058ba761a47d,8937,604ae3c8-e857-4d67-9af0-64605f489aa5,,S,General File,parent deliverable not loaded
521a9228-b8ca-4d3b-bc8e-20f2adc996b4,8938,604ae3c8-e857-4d67-9af0-64605f489aa5,,S,General File,parent deliverable not loaded
b3b83690-b278-489c-885c-1184aa919576,9224,4f4b5afd-97c6-4ede-8251-9f45807dc7cc,,S,General File,parent deliverable not loaded
e81df699-954c-470b-b235-604e2047536a,9225,738f21ba-c101-41d5-af42-9e84fd87e7ea,,S,General File,parent deliverable not loaded
eee4cc88-d813-461b-964f-cb616380a508,9226,bd0ac63e-11bd-4adb-959f-3db9394f4cf1,,S,General File,parent deliverable not loaded
2eae8197-1cd7-41f1-8ef2-e8376c14856d,9441,86e72d97-10e0-4c47-b5c4-05c4d180988a,,S,General File,parent deliverable not loaded
9cbbb47a-6a67-4db4-81a9-350330869446,9798,a0785c74-1cb6-4eab-b9fe-d56aba077d17,,S,General File,parent deliverable not loaded
2e3befe4-22fb-4254-a299-977e7523c70a,9799,a0785c74-1cb6-4eab-b9fe-d56aba077d17,,S,General File,parent deliverable not loaded
d409e3d6-9c5f-4278-b845-27ff583247b7,9866,a500691a-46e1-4b54-8499-378c109c7319,,S,General File,parent deliverable not loaded
f997b733-d7b9-45f3-9337-2297f739b009,9867,ea5b5d3e-1b0c-4b71-8942-3ad63145f0a6,,S,General File,parent deliverable not loaded
9c7c3095-8a8e-43f6-826c-b733f04c1478,9942,a500691a-46e1-4b54-8499-378c109c7319,,S,General File,parent deliverable not loaded
d3409a27-6df5-4d71-8e1a-54a49b5b4a28,9943,a2804954-9628-4dbd-8cf6-63c1ac1937bd,,S,General File,parent deliverable not loaded
b7c6a772-d92f-4240-aedc-f0ee5ab38330,10216,d0abc8fd-8c24-4f91-aad2-d159ee3a723a,,S,General File,parent deliverable not loaded
ee060383-9782-414e-bc5e-c37336aab8f4,10350,9a6dae54-c6e7-488a-8b19-4eab3bbd0b84,,S,General File,parent deliverable not loaded
d9e2458a-4101-4191-9285-1357c403e7a1,10362,ea5b5d3e-1b0c-4b71-8942-3ad63145f0a6,,S,General File,parent deliverable not loaded
349cd66b-7173-4c6c-ac1a-d20554d5e1c2,10875,4e904ec7-7f1b-44de-b59a-70fd9d2899aa,,S,General File,parent deliverable not loaded
185bd3d3-3eaf-4715-b48b-4fc37fa2b1f4,11778,d75c34e5-7a0d-4ff8-b49a-e33a05b4328b,,S,General File,parent deliverable not loaded
bc92f0e6-4307-4533-bba9-0927f51461a6,11779,d75c34e5-7a0d-4ff8-b49a-e33a05b4328b,,S,General File,parent deliverable not loaded
f521d843-b49c-416f-b626-6d2b0a3ab972,12617,198d5873-49d0-4121-9263-335e80e9c427,,S,General File,parent deliverable not loaded
9822aa16-7df6-4b16-b1b4-54cba446a2d2,13169,1d4c071d-fc29-4a4b-98f1-d4203f077de6,,C,General File,parent deliverable not loaded
7d3d6a2b-470c-40cc-943c-5c1dc03779ba,13192,1d4c071d-fc29-4a4b-98f1-d4203f077de6,,S,General File,parent deliverable not loaded
