legacy_id,legacy_pendg_demo_id,demonstration_id,othr_name,reason
38,44,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,Health and Recovery Plan,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
39,44,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,Mainstream Medicaid Managed Care Porgram (MMMC),free-text name is not a seeded demonstration-type tag (1115 name held per SME)
40,45,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,Health and Recovery Plan,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
41,45,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,Mainstream Medicaid Managed Care Porgram (MMMC),free-text name is not a seeded demonstration-type tag (1115 name held per SME)
42,46,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,Health and Recovery Plan,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
43,46,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,Mainstream Medicaid Managed Care Porgram (MMMC),free-text name is not a seeded demonstration-type tag (1115 name held per SME)
44,47,0b11ca84-a492-41e1-9fb1-7c988da310ba,SoonerCare,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
45,48,0b11ca84-a492-41e1-9fb1-7c988da310ba,SoonerCare,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
46,49,,SoonerCare,free-text name is not a seeded demonstration-type tag (1115 name held per SME); parent demonstration not migrated (held-back / no-project pending demo)
47,50,13fbcf4d-aaac-4d6f-9c56-1c7de963b003,Hospital Transformation Peformance Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
48,50,13fbcf4d-aaac-4d6f-9c56-1c7de963b003,Oregon Health Plan,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
49,51,13fbcf4d-aaac-4d6f-9c56-1c7de963b003,Hospital Transformation Peformance Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
50,51,13fbcf4d-aaac-4d6f-9c56-1c7de963b003,Oregon Health Plan,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
51,52,d40d1207-a663-40bd-8036-287fc06ea360,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
52,52,d40d1207-a663-40bd-8036-287fc06ea360,The Managed Care component,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
53,52,d40d1207-a663-40bd-8036-287fc06ea360,The Healthy Smiles Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
54,52,d40d1207-a663-40bd-8036-287fc06ea360,Connect Care Choice Community Partners,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
55,54,5c9f465d-0d82-45dc-b417-a9f37d22aeca,Comprehensive demonstration,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
56,55,5c9f465d-0d82-45dc-b417-a9f37d22aeca,Comprehensive demonstration,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
57,56,5c9f465d-0d82-45dc-b417-a9f37d22aeca,Comprehensive demonstration,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
59,58,5c9f465d-0d82-45dc-b417-a9f37d22aeca,Comprehensive demonstration,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
60,59,5c9f465d-0d82-45dc-b417-a9f37d22aeca,Comprehensive demonstration,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
61,60,5c9f465d-0d82-45dc-b417-a9f37d22aeca,Comprehensive demonstration,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
62,62,f723aea0-4ef8-4a60-b98e-0393f346cfbd,"The STAR, STAR Kids, and STAR+PLUS managed care programs - Statewide Managed Care -",free-text name is not a seeded demonstration-type tag (1115 name held per SME)
64,64,e14e3eb8-f350-403c-bee3-21868690dfe4,Primary Care Network,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
65,65,e14e3eb8-f350-403c-bee3-21868690dfe4,Primary Care Network,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
66,66,e14e3eb8-f350-403c-bee3-21868690dfe4,Primary Care Network,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
67,67,e14e3eb8-f350-403c-bee3-21868690dfe4,Primary Care Network,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
68,73,31afe2bf-4951-4d57-99ba-6394eb5711ba,Badger Care,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
69,74,fb67f194-6495-46de-b313-f37e3f77892e,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
70,75,0181f074-ee92-420b-822d-aedfadcd4c7d,Managed Care program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
71,75,0181f074-ee92-420b-822d-aedfadcd4c7d,Foster care children,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
72,75,0181f074-ee92-420b-822d-aedfadcd4c7d,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
73,75,0181f074-ee92-420b-822d-aedfadcd4c7d,Targeted Investment payments,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
74,76,c7c07fe5-ac27-4296-9440-13916aa30f3a,Increased Community Services Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
78,76,c7c07fe5-ac27-4296-9440-13916aa30f3a,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
79,78,f723aea0-4ef8-4a60-b98e-0393f346cfbd,"The STAR, STAR Kids, and STAR+PLUS managed care programs - Statewide Managed Care -",free-text name is not a seeded demonstration-type tag (1115 name held per SME)
80,78,f723aea0-4ef8-4a60-b98e-0393f346cfbd,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
81,79,e14e3eb8-f350-403c-bee3-21868690dfe4,Primary Care Network,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
82,80,8cb9aba6-e34e-451a-81b5-49212188a3a5,Managed care and DSR,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
85,82,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
89,84,545f6ac9-8513-46a2-870d-6b0bd5125436,Flint,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
90,85,71e8bdde-35a5-43a0-9ebd-53cd29bb5aed,Minnesota Prepaid Medicaid Assistance Project Plus,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
91,87,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,Health and Recovery Plan,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
