amendment_uuid,demo_uuid,name,status_cd
9082ab6c-6c8c-4290-8cb9-0497a54b355b,7247c6cc-a4f8-422b-a0d4-eb7023de52c4,Delaware COVID 19 Amendment,
9368bc5d-845f-4100-8e38-82a4895b751a,83c3e37c-2043-4d84-ba05-c305d78b230b,MN 2020 Pathways to Independence Amendment,
93aac463-f051-4f83-bdf7-8f3a5b6c6205,e14e3eb8-f350-403c-bee3-21868690dfe4,Disability Wraparound Coverage and Dental Services,
950fcd2f-4f1f-41dd-bc0d-ac257837771d,0181f074-ee92-420b-822d-aedfadcd4c7d,Continuous Coverage for Individuals Determined Ineligible for CHIP COVID Amendment,
982be203-d26f-477d-bcc6-cea99fb4d491,d40d1207-a663-40bd-8036-287fc06ea360,RI PCS Amendment,
98c57471-6d7f-4432-b122-43ef914f1beb,f935244b-2eac-4613-b7fa-d94d731015c5,Fertility Preservation,
99b5f4e4-9072-4d43-a767-888ff839fa20,0977ad7f-a35c-4e4e-b50b-2f1834ad5014,"Delivery System Reform Incentive Payment & COVID-19 Amendment: Request from 2020,  we never acted upon it, state never withdrew",
9a7713d3-de8b-44aa-a022-f597dfbf0773,bb46787a-42bc-417f-a7b8-cdef0fda771f,Colorado ROP Extension COVID-19 PHE Demonstration Amendment,
9b235170-7893-4b07-89a6-d0a338e0cc13,68da4d77-9660-454c-8715-1dbf75bbc63a,Serious Mental Illness Amendment,
9d5f9218-6afd-465f-aea0-783c6494a809,ec46307f-ec7b-4e65-a15e-bb1c3d360114,Traditional Healing Amendment,
a07522dd-7b9f-43a8-9afd-7807503c1361,e14e3eb8-f350-403c-bee3-21868690dfe4,Utah Managed Care Risk Mitigation COVID-19 Amendment,
a664bde0-11bc-47f3-876f-392e943b092c,c7c07fe5-ac27-4296-9440-13916aa30f3a,MD HealthChoice Reentry Amendment,
b40aacee-3dac-447e-a9b6-23b85ad86812,76f5cfc6-aae5-470d-bdd3-9492644e3dbd,Managed Care Risk Mitigation COVID-19 PHE Amendment,
b526c4a0-fd7e-4b09-af5f-302fc71143a2,e14e3eb8-f350-403c-bee3-21868690dfe4,Housing Related Services and Supports,
b646eaa5-5146-42ba-8793-f9ff4daffbfb,e9225e11-2ed6-4c44-b08b-497ff585e349,Uncompensated Care and Tribal Amendment,
b8979015-28d2-462d-b4c9-23e734e74637,0181f074-ee92-420b-822d-aedfadcd4c7d,Reentry and NMT Amendment,
bcff12d0-748c-47e9-ac21-567260b29630,0977ad7f-a35c-4e4e-b50b-2f1834ad5014,SUDPIP/Postpartum,
bd04b5ec-78bb-42e4-af8b-28d59388da88,bf354cb7-af95-45ad-9efa-9e9c76184a8a,CHIP Aging out,
bf144d9c-f861-4915-9640-faae738fe092,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,Asset Test Amendment,
c0a1acc2-15f1-458d-94b6-c5fed8f205d4,e14e3eb8-f350-403c-bee3-21868690dfe4,Premium Assistance Amendment,
c13062a4-817d-498f-8c5e-e4f449c1d978,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,Equity,
c16a997e-e0f9-4347-8494-9ce77a7ad192,c7c07fe5-ac27-4296-9440-13916aa30f3a,"ACIS, ELE & Fertility Preservation",
c2f49dfd-0b97-4aab-bc5c-416624ae2cf9,76f5cfc6-aae5-470d-bdd3-9492644e3dbd,Georgia Planning for Healthy Babies- PCS Amendment,
c5798784-3aef-4ad7-b15a-8248b8a7a274,e9225e11-2ed6-4c44-b08b-497ff585e349,CHIP Amendment,
c74f0781-a0c4-4277-9844-6daa46cdc03d,68da4d77-9660-454c-8715-1dbf75bbc63a,Continuous Eligibility Amendment,
c7b6bc2b-de8c-4594-94a2-f94a7cdbec01,7247c6cc-a4f8-422b-a0d4-eb7023de52c4,Delaware Diamond State Health Plan 1115 Demonstration HCBS Amendment,
c88d9b17-5c4d-4c6c-b028-d0ba7894ef2f,a1720a4f-5984-4b4c-b929-d10fb071ee97,NH PE for HCBS Amendment,
c8dabc76-00ef-4790-b6bf-569e26aa1ed9,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,CBAS Provider Payments Attachment K,
cace5bc9-6f15-4469-b848-03d64fa0662f,60ea7851-9e7e-4105-ae9d-fdf7ee9dce7a,Public Health Emergency- Managed Care,
cb5f2906-d9da-497b-8695-092e12c18b9e,f641320f-8cae-452f-999f-f650d13d24ff,STI/STD Amendment,
cb65dde4-8817-4d5e-8d2d-ca9819c0905d,0b11ca84-a492-41e1-9fb1-7c988da310ba,Community Engagement Amendment,
cd347114-a964-462b-a855-bfd14c955c14,b9d64f02-8673-49dd-892f-63a63865358e,"Contingency Management, Tenancy Support Services, and Pre-Release Services",
cd8bd6bd-4867-4466-84f4-2d6f204c8628,0b11ca84-a492-41e1-9fb1-7c988da310ba,COVID-19 Disaster Relief Waiver,
cdb1dabc-8e0f-4648-9216-4540cfe80211,ec46307f-ec7b-4e65-a15e-bb1c3d360114,COVID-19 Amendment,
ce6b5e64-f60b-4661-b1f2-10c25e1c6ad1,71e8bdde-35a5-43a0-9ebd-53cd29bb5aed,Reasonable Opportunity Period Extension,
d2e61c74-178a-4791-b53d-8a1e4ebddd40,bb46787a-42bc-417f-a7b8-cdef0fda771f,Colorado managed care risk mitigation COVID-19 PHE amendment,
d4ce7d33-6c38-4061-85a7-09a7d7be42fd,7247c6cc-a4f8-422b-a0d4-eb7023de52c4,2nd Delaware COVID 19 Amendment,
d81482a4-fc33-45dc-be8b-9a3a0dd1356e,51573012-04dc-491f-b41a-0bb4b24efec9,CAA Waiver,
da5535b9-14bf-48f9-9061-03a8b14f988c,b948eef7-7d1c-44a1-bce9-264e1bd1adbd,Eligibility Redetermination Exemption,
dbb154f3-4cf5-430e-adbd-df9df5867685,80a1a128-5ef0-47ba-af5a-d9bb4be2af9f,SMI Amendment,
dd544bef-c3da-45bb-b665-546f32a96a7e,5d2f4ed6-f0c0-4ca8-b358-0895ecec7264,Community Engagement Amendment,
df7bf572-fa7b-4af6-b217-ab6ed109ada7,e05f17af-8550-4ebe-81d5-e3804993556c,Substance Use Disorder Amendment,
e084fdf7-7572-4eda-9b86-bf3bed22ba02,e14e3eb8-f350-403c-bee3-21868690dfe4,Chronic Conditions Supports,
e1db1851-cd99-4ccc-82aa-a2a48982c475,b8ce4b5d-b2e0-49ce-9878-2f77b5da13a3,COVID-19 Amendment,
